"state_name","state_abbrv","year","population","category","unemp_rate","crime_rate","murder_rate","rape_rate","robbery_rate","assault_rate"
"Wyoming","WY",1977,406000,"1M- populations",3.4,240.9,5.4,21.9,39.7,173.9
"Alabama","AL",1978,3742000,"1M-5M populations",6.4,419.1,13.3,25.5,99.1,281.2
"Alaska","AK",1978,403000,"1M- populations",10.6,441.9,12.9,55.6,91.3,282.1
"Arizona","AZ",1978,2354000,"1M-5M populations",6.0,552.1,9.4,44.2,162.9,335.6
"Arkansas","AR",1978,2186000,"1M-5M populations",6.2,344.1,9.1,23.1,80.0,231.9
"California","CA",1978,22294000,"10M + populations",7.2,742.9,11.7,50.8,306.1,374.4
"Colorado","CO",1978,2670000,"1M-5M populations",5.5,498.0,7.3,49.6,159.2,281.9
"Connecticut","CT",1978,3099000,"1M-5M populations",5.2,315.0,4.2,17.2,154.8,138.8
"Delaware","DE",1978,583000,"1M- populations",7.4,440.7,6.7,20.4,145.5,268.1
"District of Columbia","DC",1978,674000,"1M- populations",8.3,1411.7,28.0,66.3,939.6,377.7
"Florida","FL",1978,8594000,"5M+ populations",6.7,765.6,11.0,46.1,206.0,502.5
"Georgia","GA",1978,5084000,"5M+ populations",5.7,482.8,14.4,37.9,166.3,264.2
"Hawaii","HI",1978,897000,"1M- populations",7.1,270.1,6.7,25.9,173.6,64.0
"Idaho","ID",1978,878000,"1M- populations",5.4,236.4,5.4,19.2,40.0,171.9
"Illinois","IL",1978,11243000,"10M + populations",6.0,676.7,9.9,28.0,292.9,345.9
"Indiana","IN",1978,5374000,"5M+ populations",5.6,323.5,6.2,27.0,121.4,168.8
"Iowa","IA",1978,2896000,"1M-5M populations",3.9,161.4,2.6,10.4,46.9,101.6
"Kansas","KS",1978,2348000,"1M-5M populations",3.1,318.2,5.7,25.0,93.7,193.8
"Kentucky","KY",1978,3498000,"1M-5M populations",5.1,223.2,9.0,20.7,81.3,112.1
"Louisiana","LA",1978,3966000,"1M-5M populations",6.8,584.9,15.8,34.8,173.7,360.7
"Maine","ME",1978,1091000,"1M-5M populations",6.4,207.7,2.7,11.1,32.9,161.0
"Maryland","MD",1978,4143000,"1M-5M populations",5.5,732.0,8.2,35.6,309.6,378.6
"Massachusetts","MA",1978,5774000,"5M+ populations",6.2,462.0,3.7,22.6,172.3,263.3
"Michigan","MI",1978,9189000,"5M+ populations",7.0,577.2,10.6,39.6,219.3,307.7
"Minnesota","MN",1978,4008000,"1M-5M populations",3.9,189.6,2.0,19.9,85.1,82.6
"Mississippi","MS",1978,2404000,"1M-5M populations",6.9,321.2,12.6,21.8,70.2,216.6
"Missouri","MO",1978,4860000,"1M-5M populations",4.9,467.9,10.4,28.0,184.0,245.5
"Montana","MT",1978,785000,"1M- populations",5.7,237.6,4.8,15.8,36.8,180.1
"Nebraska","NE",1978,1565000,"1M-5M populations",3.1,190.5,3.0,18.3,64.9,104.4
"Nevada","NV",1978,660000,"1M- populations",4.5,780.8,15.5,53.9,359.5,351.8
"New Hampshire","NH",1978,871000,"1M- populations",3.8,118.8,1.4,9.4,26.3,81.7
"New Jersey","NJ",1978,7327000,"5M+ populations",7.3,423.5,5.4,23.6,192.6,201.9
"New Mexico","NM",1978,1212000,"1M-5M populations",5.9,528.2,10.2,42.7,111.6,363.8
"New York","NY",1978,17748000,"10M + populations",7.8,841.0,10.3,29.1,472.1,329.5
"North Carolina","NC",1978,5577000,"5M+ populations",4.5,413.4,10.8,18.4,65.9,318.4
"North Dakota","ND",1978,652000,"1M- populations",4.3,67.0,1.2,8.9,15.6,41.3
"Ohio","OH",1978,10749000,"10M + populations",5.5,412.7,6.9,27.4,182.6,195.8
"Oklahoma","OK",1978,2880000,"1M-5M populations",3.6,353.0,8.5,31.0,88.3,225.2
"Oregon","OR",1978,2444000,"1M-5M populations",6.0,502.4,5.0,41.2,131.1,325.0
"Pennsylvania","PA",1978,11750000,"10M + populations",6.9,301.1,6.2,18.7,136.7,139.5
"Rhode Island","RI",1978,935000,"1M- populations",6.6,348.1,4.0,11.0,98.2,235.0
"South Carolina","SC",1978,2918000,"1M-5M populations",5.7,637.6,11.5,35.4,101.3,489.4
"South Dakota","SD",1978,690000,"1M- populations",3.1,163.5,1.9,10.9,15.9,134.8
"Tennessee","TN",1978,4357000,"1M-5M populations",5.8,382.6,9.4,30.6,152.4,190.2
"Texas","TX",1978,13014000,"10M + populations",4.8,435.3,14.2,37.9,164.4,218.8
"Utah","UT",1978,1307000,"1M-5M populations",3.8,271.8,3.7,22.9,66.5,178.7
"Vermont","VT",1978,487000,"1M- populations",5.6,166.3,3.3,14.6,14.4,134.1
"Virginia","VA",1978,5148000,"5M+ populations",5.3,286.4,8.8,22.7,97.1,157.8
"Washington","WA",1978,3774000,"1M-5M populations",6.9,405.3,4.6,41.2,125.0,234.4
"West Virginia","WV",1978,1860000,"1M-5M populations",6.2,167.7,6.8,14.7,46.3,99.9
"Wisconsin","WI",1978,4679000,"1M-5M populations",5.0,132.2,2.5,14.5,49.9,65.2
"Wyoming","WY",1978,424000,"1M- populations",3.0,280.4,7.1,23.6,48.1,201.7
"Alabama","AL",1979,3769000,"1M-5M populations",7.2,413.3,13.2,27.5,109.5,263.1
"Alaska","AK",1979,406000,"1M- populations",9.3,491.1,13.3,71.9,109.6,296.3
"Arizona","AZ",1979,2450000,"1M-5M populations",5.1,593.0,8.9,45.7,175.7,362.6
"Arkansas","AR",1979,2180000,"1M-5M populations",6.2,366.2,9.1,27.3,74.6,255.3
"California","CA",1979,22696000,"10M + populations",6.2,811.1,13.0,53.9,333.8,410.3
"Colorado","CO",1979,2772000,"1M-5M populations",4.7,522.1,5.8,53.1,157.0,306.1
"Connecticut","CT",1979,3115000,"1M-5M populations",5.1,414.2,4.2,24.1,193.3,192.6
"Delaware","DE",1979,582000,"1M- populations",7.2,537.3,5.7,27.8,129.4,374.4
"District of Columbia","DC",1979,656000,"1M- populations",7.0,1608.7,27.4,74.5,1054.9,451.8
"Florida","FL",1979,8860000,"5M+ populations",5.9,833.9,12.2,51.6,249.4,520.6
"Georgia","GA",1979,5118000,"5M+ populations",5.1,558.7,17.1,43.3,213.7,284.5
"Hawaii","HI",1979,915000,"1M- populations",6.1,289.7,7.2,32.3,184.5,65.7
