State,Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate
Arkansas,1980,2284037,335.2,9.2,26.7,80.9,218.4
California,1980,23532680,893.6,14.5,58.2,384.2,436.7
Colorado,1980,2878407,528.6,6.9,52.5,160.1,309.2
Connecticut,1980,3095224,412.5,4.7,21.6,218,168.1
Delaware,1980,594779,474.8,6.9,24.2,137,306.7
District of Columbia,1980,635233,2010.6,31.5,69.1,1400.6,509.4
Florida,1980,9567112,983.5,14.5,56.9,355.5,556.6
Georgia,1980,5400851,555.3,13.8,44.3,197.6,299.7
Hawaii,1980,964680,299.5,8.7,34.7,190.2,65.8
Idaho,1980,943629,313.4,3.1,22.4,46.8,241.1
Illinois,1980,11355062,808,10.6,34.8,367,395.6
Indiana,1980,5461103,377.8,8.9,33.1,141.4,194.5
Iowa,1980,2907804,200.4,2.2,14.3,54.9,129
Kansas,1980,2354783,389.3,6.9,31.5,113.1,237.8
Kentucky,1980,3641479,266.7,8.8,19.2,95.2,143.5
Louisiana,1980,4199542,665,15.7,44.5,197,407.8
Maine,1980,1123670,193.4,2.8,12.9,30.8,146.8
Maryland,1980,4192211,852.4,9.5,40.1,392.7,410.1
Massachusetts,1980,5728288,601.3,4.1,27.3,235.5,334.4
Michigan,1980,9228128,639.5,10.2,46.6,244,338.6
Minnesota,1980,4061235,227.8,2.6,23.2,99.1,102.9
Mississippi,1980,2511491,341.9,14.5,24.6,81,221.7
Missouri,1980,4901288,554.5,11.1,32.6,223.6,287.2
Montana,1980,781592,222.6,4,21,34,163.6
Nebraska,1980,1563921,224.6,4.4,23.2,82.2,114.7
Nevada,1980,800312,912.6,20,67.2,460.6,364.9
New Hampshire,1980,919114,179.8,2.5,17.3,42,118
New Jersey,1980,7342164,604.4,6.9,30.7,303.7,263
New York,1980,17506690,1029.5,12.7,30.9,641.3,344.6
North Carolina,1980,5843665,455,10.6,22.7,82.3,339.4
North Dakota,1980,652437,54,1.2,9.5,7.7,35.6
Ohio,1980,10766808,498.3,8.1,34.3,223.7,232.2
Oklahoma,1980,3001252,419.5,10,36.3,104.9,268.4
Oregon,1980,2610477,490.4,5.1,41.5,152.4,291.4
Pennsylvania,1980,11824220,363.9,6.8,23,177.9,156.1
Rhode Island,1980,945835,408.5,4.4,17.1,118.6,268.3
South Carolina,1980,3064557,660,11.4,37.5,118.1,493
South Dakota,1980,688217,126.8,0.7,12.5,20.1,93.6
Tennessee,1980,4545590,458.1,10.8,37.4,180.6,229.4
Texas,1980,14169829,550.3,16.9,47.3,208.5,277.6
Utah,1980,1458729,303.3,3.8,27.7,80.2,191.7
Vermont,1980,511299,178.8,2.2,29.1,38.9,108.5
Virginia,1980,5323412,307.2,8.6,27.4,120.1,151.1
Washington,1980,4113331,464.3,5.5,52.7,135.1,271
West Virginia,1980,1930787,183.7,7.1,15.8,48.5,112.2
Wisconsin,1980,4680917,182.6,2.9,14.9,70.7,94.1
Wyoming,1980,468954,392.6,6.2,28.6,44.4,313.5
Alaska,1981,412000,615.8,14.6,102.2,114.6,384.5
New Mexico,1981,1327000,671.7,11.4,47.3,140.8,472.2
Alabama,1981,3916000,470.5,11.9,26.1,126.5,306.1
Arizona,1981,2793000,575.8,8.1,38.1,177.6,352
Arkansas,1981,2294000,310.3,9.1,25.2,77.4,198.6
California,1981,24159000,863,13,56.2,388.2,405.6
Colorado,1981,2963000,531.7,8.1,45.6,159.5,318.5
Connecticut,1981,3132000,448.1,5.4,21.9,246.1,174.6
Delaware,1981,598000,509,6.7,28.4,141.1,332.8
District of Columbia,1981,636000,2274.8,35.1,65.1,1635.1,539.6
Florida,1981,10166000,965.1,15,56.1,348.9,545
Georgia,1981,5569000,548.2,17.2,42.4,196.4,292.1
Hawaii,1981,979000,247.6,4.8,34.7,148.4,59.7
Idaho,1981,959000,283.3,4.5,20.6,37.7,220.4
Illinois,1981,11455000,792.5,10.5,32.4,373.2,376.3
Indiana,1981,5466000,341.6,7.1,29.6,129,176
Iowa,1981,2897000,204.2,2.6,13.4,53.6,134.5
Kansas,1981,2381000,369.4,6.3,30.8,109.7,222.6
Kentucky,1981,3661000,289.5,8.4,20.9,100.7,159.5
Louisiana,1981,4305000,638.3,15.6,41.4,202,379.2
Maine,1981,1132000,195.6,3.2,12.8,32.5,147.1
Maryland,1981,4261000,887.1,9.9,38.8,424.4,414
Massachusetts,1981,5770000,628.6,3.6,27.4,270.9,326.7
Michigan,1981,9201000,641.9,9.4,47.5,257.5,327.6
Minnesota,1981,4090000,228.5,2.1,25.8,104.3,96.3
Mississippi,1981,2530000,304.6,12.6,26,81.4,184.6
Missouri,1981,4938000,540.2,10.4,29.7,215.2,284.8
Montana,1981,792000,253,3.4,22.1,38.1,189.4
Nebraska,1981,1576000,181.5,3.1,20.5,70.7,87.2
Nevada,1981,845000,896.4,17.5,64.9,458,356.1
New Hampshire,1981,935000,147.1,2.9,16.5,35.8,91.9
New Jersey,1981,7401000,630.6,7.3,32.1,334.6,256.7
New York,1981,17594000,1069.6,12.3,31.1,684,342.1
North Carolina,1981,5951000,436.7,9.1,22.7,80.8,324.1
North Dakota,1981,658000,67.5,2.3,8.7,12.9,43.6
Ohio,1981,10776000,496.6,7.4,31,236.9,221.3
Oklahoma,1981,3098000,426.8,9,35.2,115.4,267.2
Oregon,1981,2647000,478.7,4.4,41.7,180.6,251.9
Pennsylvania,1981,11864000,371.7,6.1,22.4,186.6,156.6
Rhode Island,1981,952000,441.7,4.2,17.9,132,287.6
South Carolina,1981,3166000,640.4,10.4,36.3,120.2,473.5
South Dakota,1981,685000,104.8,1.8,11.5,17.8,73.7
Tennessee,1981,4610000,412.6,9.7,37.6,171.7,193.5
Texas,1981,14755000,532.4,16.6,46.2,193.3,276.3
Utah,1981,1516000,298.6,3.3,28.4,84.8,182.1
Vermont,1981,515000,128,4.3,33,27.6,63.1
Virginia,1981,5426000,321.7,8.6,27.2,133.2,152.7
Washington,1981,4212000,447.3,5.1,50.2,130,262
West Virginia,1981,1951000,174.8,6,14.8,50.2,103.7
Wisconsin,1981,4739000,187.9,3.4,15.7,68.6,100.2
Wyoming,1981,492000,430.1,5.5,35.4,41.9,347.4
Alaska,1982,438000,623.7,18.5,85.4,133.8,386.1
New Mexico,1982,1359000,734.5,11.6,48.3,126.2,548.4
Alabama,1982,3943000,447.7,10.6,26,112,299.1
Arizona,1982,2860000,517,8.3,38.5,158.6,311.6
Arkansas,1982,2291000,324.7,8.2,27.1,78.8,210.6
California,1982,24724000,814.7,11.2,50.7,372.1,380.7
Colorado,1982,3045000,504.2,6,44.5,150.6,303.1
Connecticut,1982,3153000,399.5,5.2,21.9,208.5,163.9
Delaware,1982,602000,559.8,5.3,30.9,122.4,401.2
District of Columbia,1982,631000,2123.1,30.7,66.7,1448,577.7
Florida,1982,10416000,896.8,13.5,53.6,297.6,532
Georgia,1982,5639000,478.2,12.6,39.8,154.6,271.2
Hawaii,1982,994000,255.7,3.1,34.4,156.9,61.3
Idaho,1982,965000,259.2,2.5,16.6,30.3,209.8
Illinois,1982,11448000,774.3,8.8,29.9,346.8,388.8
Indiana,1982,5471000,300.6,6.5,27.8,109,157.2
Iowa,1982,2905000,172.7,2.3,12.5,36.2,121.8
Kansas,1982,2408000,335.9,5.7,24.8,87,218.4
Kentucky,1982,3667000,315,9.7,20,97.3,188
Louisiana,1982,4362000,669.1,16,39.9,212.6,400.6
Maine,1982,1133000,163,2.1,13.4,30.5,117
Maryland,1982,4265000,850,10.1,37.4,360.5,441.9
Massachusetts,1982,5781000,571.4,3.8,25.3,213.8,328.5
Michigan,1982,9109000,656.6,9.1,46.6,271.1,329.7
Minnesota,1982,4133000,219.3,2.3,22.7,101.3,92.9
Mississippi,1982,2551000,294.6,14,26.5,73,181.1
Missouri,1982,4951000,506.5,9.7,25.9,193,278
Montana,1982,801000,224.8,3.9,14.9,33.1,173
Nebraska,1982,1586000,229.6,2,20.7,61.9,145
Nevada,1982,881000,805.4,13.6,61.5,419.6,310.7
New Hampshire,1982,951000,124.8,2.2,16.2,33.9,72.6
New Jersey,1982,7438000,607.4,6.5,28.9,307.6,264.4
New York,1982,17659000,990.1,11.4,29.2,610.7,338.7
North Carolina,1982,6019000,446.3,9.1,22,85.9,329.5
North Dakota,1982,670000,61.8,0.7,9.9,12.7,38.5
Ohio,1982,10791000,436.7,6.3,29.9,183.6,217
Oklahoma,1982,3177000,443.9,10.8,37.1,132.8,263.2
Oregon,1982,2649000,473,5.1,39.9,167.3,260.6
Pennsylvania,1982,11865000,360.4,5.7,20.6,175.4,158.7
Rhode Island,1982,958000,401.8,3.7,19.4,114.7,264
South Carolina,1982,3203000,720,10.9,38.8,122.4,547.9
South Dakota,1982,691000,99,2.7,11.4,17.1,67.7
Tennessee,1982,4651000,421.1,9.7,35.5,175.7,200.2
Texas,1982,15280000,577.1,16.1,44.6,220,296.3
Utah,1982,1554000,285.7,3.4,23.7,86.5,172.1
Vermont,1982,516000,126.9,2.3,34.9,23.1,66.7
Virginia,1982,5491000,309.1,7.4,24.9,122.2,154.6
Washington,1982,4245000,406.4,4.4,45.9,117.9,238.3
West Virginia,1982,1948000,174.8,5.2,15.5,49.8,104.3
Wisconsin,1982,4765000,190.5,3.1,14.3,71.2,101.9
Wyoming,1982,502000,304.2,9.2,27.1,34.3,233.7
Alaska,1983,479000,613.8,13.8,101.5,97.1,401.5
New Mexico,1983,1399000,686.8,8.9,48,114,515.9
Alabama,1983,3959000,416,9.2,23.5,98.4,284.9
Arizona,1983,2963000,494.2,7.2,41.9,132.4,312.7
Arkansas,1983,2328000,297.7,7.6,25.2,69.3,195.5
California,1983,25174000,772.6,10.5,48,340.9,373.1
Colorado,1983,3139000,476.4,6.4,41.9,126.4,301.7
Connecticut,1983,3138000,375,4.1,20,200.6,150.3
Delaware,1983,606000,453.1,4.1,37.8,115.3,295.9
District of Columbia,1983,623000,1915.4,29.4,65.2,1235.6,585.2
Florida,1983,10680000,826.7,11.2,48.4,263.4,503.7
Georgia,1983,5732000,456.7,8.4,35.3,144.2,268.8
Hawaii,1983,1023000,252.1,5.6,29.4,130,87.1
Idaho,1983,989000,238.7,3.5,18.3,27.3,189.6
Illinois,1983,11486000,728.1,9.7,31.5,318.9,368
Indiana,1983,5479000,283.8,5.2,27.5,99.9,151.1
Iowa,1983,2905000,181.1,2.3,12.6,41,125.2
Kansas,1983,2425000,326.6,5.6,25.9,84,211
Kentucky,1983,3714000,322.2,9.8,22,87.1,203.3
Louisiana,1983,4438000,640.9,14.2,39.9,190,396.8
Maine,1983,1146000,159.6,2.1,16.8,27.1,113.5
Maryland,1983,4304000,807.1,8.5,32.8,347.4,418.4
Massachusetts,1983,5767000,576.8,3.5,25.9,208.5,338.9
Michigan,1983,9069000,716.7,10,56.1,285.3,365.3
Minnesota,1983,4144000,190.9,1.7,22.4,79.6,87.2
Mississippi,1983,2587000,280.4,11.2,23.8,63.8,181.6
Missouri,1983,4970000,477.2,8.1,26.8,167.9,274.4
Montana,1983,817000,212.6,3.7,19.8,23.5,165.6
Nebraska,1983,1597000,217.7,2.6,21.2,49.8,144
Nevada,1983,891000,655.2,12.8,51.3,307.2,284
New Hampshire,1983,959000,125.1,2,19.5,24.1,79.6
New Jersey,1983,7468000,553.1,5.3,30.3,269,248.4
New York,1983,17667000,914.1,11.1,30,536.5,336.5
North Carolina,1983,6082000,409.6,8.1,21.9,79.6,300
North Dakota,1983,680000,53.7,2.1,12.5,7.8,31.3
Ohio,1983,10746000,397.9,5.6,31.5,159.4,201.4
Oklahoma,1983,3298000,423.4,7.6,37.8,128.7,249.3
Oregon,1983,2662000,487.8,4.1,40.5,170.3,273
Pennsylvania,1983,11895000,342.8,4.9,20.6,172.3,145
Rhode Island,1983,955000,355.2,2.7,16.8,112.9,222.8
South Carolina,1983,3264000,616.8,9.8,35,104.9,467
South Dakota,1983,700000,120,2.1,17,15.9,85
Tennessee,1983,4685000,402,8.8,35.9,172.8,184.6
Texas,1983,15724000,512.2,14.2,40.3,189.3,268.4
Utah,1983,1619000,256,3.5,24.9,64.3,163.3
Vermont,1983,525000,132.6,3.6,40.8,27.8,60.4
Virginia,1983,5550000,292.5,7,24.7,110.5,150.4
Washington,1983,4300000,371.8,4.9,44.7,105.4,216.7
West Virginia,1983,1965000,171.8,4.9,13.4,44.2,109.3
Wisconsin,1983,4751000,190.9,2.8,18.1,71.9,98.1
Wyoming,1983,514000,237.2,5.8,21.4,29.8,180.2
Alaska,1984,500000,621.6,11.6,91.6,109.4,409
New Mexico,1984,1424000,688.1,9.1,55,130.3,493.6
Alabama,1984,3990000,431.2,9.4,25.1,96.1,300.6
Arizona,1984,3053000,516.1,7.8,43.1,131.1,334.1
Arkansas,1984,2349000,321.4,7.5,29.7,67.6,216.6
California,1984,25622000,763.4,10.6,45.7,327.5,379.5
Colorado,1984,3178000,457.8,5.8,39,114,299
Connecticut,1984,3154000,393.8,3.9,24.1,190.5,175.4
Delaware,1984,613000,435.7,4.1,48.9,116,266.7
District of Columbia,1984,623000,1721.5,28.1,58.7,977,657.6
Florida,1984,10976000,868,11.5,50.7,276.2,529.6
Georgia,1984,5837000,478.6,9.4,40.4,144.1,284.7
Hawaii,1984,1039000,231.9,3.3,30.2,115.9,82.5
Idaho,1984,1001000,235.3,3.4,18.7,24.4,188.8
Illinois,1984,11511000,724.9,9,31.2,303.8,380.9
Indiana,1984,5498000,305.2,5.5,25,98.9,175.9
Iowa,1984,2910000,198.7,2,12.9,38.3,145.5
Kansas,1984,2438000,334.2,3.7,27.4,71.6,231.5
Kentucky,1984,3723000,277.8,6.6,22.2,70.7,178.4
Louisiana,1984,4462000,678,12.9,41.8,190.5,432.8
Maine,1984,1156000,158.5,1.7,13.4,26.4,117
Maryland,1984,4349000,792.3,8.1,37.7,301.1,445.3
Massachusetts,1984,5798000,523.7,3.6,28.1,174.6,317.4
Michigan,1984,9075000,760.1,9.7,64.8,306.7,378.9
Minnesota,1984,4162000,211.5,1.8,25.3,71.1,113.3
Mississippi,1984,2598000,282,9.7,27.5,60.5,184.3
Missouri,1984,5008000,460.7,7.1,26.5,140.8,286.2
Montana,1984,824000,237.6,4.4,20.6,27.4,185.2
Nebraska,1984,1606000,225.8,3.4,23.7,43.2,155.6
Nevada,1984,911000,628.5,10.8,60.7,279,278
New Hampshire,1984,977000,133.9,1,20.7,23.2,88.9
New Jersey,1984,7515000,527.7,5.3,32.5,242.4,247.4
New York,1984,17735000,914.3,10.1,31.6,506.9,365.8
North Carolina,1984,6165000,403.6,8.7,21.6,74.8,298.5
North Dakota,1984,686000,53.6,1.2,13.1,7.7,31.6
Ohio,1984,10752000,385.3,5.1,34.7,145.6,199.9
Oklahoma,1984,3298000,407.5,7.8,39.9,111.2,248.5
Oregon,1984,2674000,506.1,4.8,44.9,168.6,287.8
Pennsylvania,1984,11901000,320.6,4.5,23.2,148.4,144.5
Rhode Island,1984,962000,334.7,3.4,21.3,113.4,196.6
South Carolina,1984,3300000,624.5,9.2,40.3,103.3,471.7
South Dakota,1984,706000,147.5,1.8,26.9,14.9,103.8
Tennessee,1984,4717000,445.4,8.4,40,166.8,230.3
Texas,1984,15989000,505,13.1,45.9,178.5,267.4
Utah,1984,1652000,244.2,2.8,20.3,58,163.1
Vermont,1984,530000,145.1,2.3,19.8,23,100
Virginia,1984,5636000,295.6,7.7,26.7,102.3,158.9
Washington,1984,4349000,406.4,4.6,50,120.6,231.1
West Virginia,1984,1952000,168.2,4.4,15.6,38.1,110
Wisconsin,1984,4766000,196.5,2.5,16.6,66.4,111.1
Wyoming,1984,511000,242.1,3.3,20.9,23.1,194.7
Alaska,1985,521000,581.8,9.8,77.2,92.9,401.9
New Mexico,1985,1450000,703.9,10.9,49.8,138.1,505.1
Alabama,1985,4021000,457.5,9.8,26.8,105.4,315.5
Arizona,1985,3187000,602.5,8,45.7,146.5,402.3
Arkansas,1985,2359000,347.6,7.9,29.1,68.5,242
California,1985,26365000,765.3,10.5,43.3,327.7,383.8
Colorado,1985,3231000,471,5.8,40.9,124.2,300.1
Connecticut,1985,3174000,402,3.8,24,190,184.1
Delaware,1985,622000,433.3,4.8,47.6,124.3,256.6
District of Columbia,1985,626000,1624.8,23.5,53.8,835.5,712
Florida,1985,11366000,941.1,11.4,52.8,312.4,564.5
Georgia,1985,5976000,507.2,10.4,43.3,164.2,289.4
Hawaii,1985,1054000,219.4,4.1,29.4,99.4,86.5
Idaho,1985,1005000,234.8,2.2,19.1,26.8,186.8
Illinois,1985,11535000,714.8,8,39.3,287.1,380.3
Indiana,1985,5499000,309.4,5.8,24,92.1,187.5
Iowa,1985,2884000,211.7,1.9,12.6,41.2,156.1
Kansas,1985,2450000,355.8,4.9,29.3,78.7,242.7
Kentucky,1985,3726000,305.5,6.9,21.6,75.7,201.3
Louisiana,1985,4481000,694.2,10.9,39.8,190.3,453.3
Maine,1985,1164000,167.5,2.4,14.3,24.4,126.4
Maryland,1985,4392000,834.6,7.9,38.7,302.2,485.8
Massachusetts,1985,5822000,538.2,3.5,29.8,188.5,316.5
Michigan,1985,9088000,734.1,11.2,67.6,292.4,362.9
Minnesota,1985,4193000,256.4,2.1,29.6,85.8,138.9
Mississippi,1985,2613000,270.9,10.6,26.7,62.6,171.1
Missouri,1985,5029000,503.5,8.1,29.2,147.6,318.5
Montana,1985,826000,208.5,5.8,19.2,20.9,162.5
Nebraska,1985,1606000,237.9,2.9,23.4,48.5,163.1
Nevada,1985,936000,667.1,10.3,60.3,274.9,321.7
New Hampshire,1985,998000,140.8,2.1,19.1,26.7,92.9
New Jersey,1985,7562000,544.5,5.4,32.1,255,252
New York,1985,17783000,929.9,9.5,32.1,504.4,383.9
North Carolina,1985,6255000,420.9,8.3,23.8,78.2,310.6
North Dakota,1985,685000,47,1,7.3,6.4,32.3
Ohio,1985,10744000,381.6,5.2,36.9,133.1,206.4
Oklahoma,1985,3301000,422,7.7,37.9,106.8,269.6
Oregon,1985,2687000,551.1,4.7,50.7,185.6,310.1
Pennsylvania,1985,11853000,331.1,4.6,24.3,147,155
Rhode Island,1985,968000,346.6,3.6,26.1,115.9,200.9
South Carolina,1985,3347000,631,9.1,41.4,93.9,486.7
South Dakota,1985,708000,136.6,1.8,23.7,17.1,93.9
Tennessee,1985,4762000,474.4,9,42.6,180.9,242
Texas,1985,16370000,550,13,51.1,193.5,292.3
Utah,1985,1645000,267.4,3,23.2,55.2,186
Vermont,1985,535000,147.7,3.4,19.3,20.9,104.1
Virginia,1985,5706000,294.7,7.1,27.2,100.2,160.1
Washington,1985,4409000,425.4,5.2,54.9,132,233.3
West Virginia,1985,1936000,166,3.8,18.5,37.6,106.1
Wisconsin,1985,4775000,206.9,2.8,18.3,70.2,115.6
Wyoming,1985,509000,256.8,4.3,22.4,20,210
Alaska,1986,534000,570.4,8.6,72.7,88,401.1
New Mexico,1986,1479000,725.6,11.5,46.9,129.5,537.7
Alabama,1986,4053000,558,10.1,28.4,111.6,407.9
Arizona,1986,3317000,658.3,9.3,43,169.2,436.8
Arkansas,1986,2372000,394.8,8.1,28.9,79.7,278.2
California,1986,26981000,920.5,11.3,44.9,342.9,521.5
Colorado,1986,3267000,523.6,7,42.3,144.8,329.4
Connecticut,1986,3189000,425.8,4.6,23.8,192.2,205.1
Delaware,1986,633000,427,4.9,56.9,124.2,241.1
District of Columbia,1986,626000,1505.3,31,52.4,754,667.9
Florida,1986,11675000,1036.5,11.7,52.7,366.8,605.3
Georgia,1986,6104000,587.6,11.2,43.9,213.9,318.6
Hawaii,1986,1062000,245.2,4.8,31,106.3,103.1
Idaho,1986,1003000,222.5,3.2,20,21.3,178
Illinois,1986,11533000,808.9,8.9,41.2,325.3,433.5
Indiana,1986,5504000,307.7,6,25.9,90,185.9
Iowa,1986,2851000,235.1,1.8,12.5,42,178.8
Kansas,1986,2461000,368.8,4.4,32.9,79.6,251.9
Kentucky,1986,3728000,334.4,6.7,23.1,82.5,222.2
Louisiana,1986,4501000,758.2,12.8,40.1,223.8,481.6
Maine,1986,1174000,147,2,14.8,27.9,102.3
Maryland,1986,4463000,833,9,43.6,304,476.4
Massachusetts,1986,5832000,556.9,3.6,29.7,192.7,330.9
Michigan,1986,9145000,803.9,11.3,67.4,301.3,423.9
Minnesota,1986,4214000,284.6,2.5,31.8,102,148.3
Mississippi,1986,2625000,274.1,11.2,25.8,64.6,172.4
Missouri,1986,5066000,578.6,9.2,29.2,170.2,370
Montana,1986,819000,157.4,2.9,17.3,19.5,117.6
Nebraska,1986,1598000,262.6,3.1,24.6,51.1,183.7
Nevada,1986,963000,718.9,12.6,64.9,286.9,354.5
New Hampshire,1986,1027000,139.5,2.2,21.5,23.6,92.2
New Jersey,1986,7620000,572.5,5.2,33.2,268.7,265.4
New York,1986,17772000,985.9,10.7,30.5,514.1,430.6
North Carolina,1986,6331000,475.9,8.1,26.4,87.7,353.6
North Dakota,1986,679000,51.3,1,11.6,6.9,31.7
Ohio,1986,10752000,420.9,5.5,38.6,142.1,234.7
Oklahoma,1986,3305000,436.4,8.1,36.4,106.5,285.4
Oregon,1986,2698000,549.7,6.6,51.1,205.9,286.1
Pennsylvania,1986,11889000,358.6,5.5,25.1,152.1,175.8
Rhode Island,1986,975000,335.5,3.5,21.4,118.7,191.9
South Carolina,1986,3378000,674.6,8.6,41.3,99.5,525.2
South Dakota,1986,708000,124.7,4,17.7,16.2,86.9
Tennessee,1986,4803000,539.6,10.4,47,207.7,274.5
Texas,1986,16682000,658.9,13.5,51.6,239.9,353.9
Utah,1986,1665000,266.7,3.2,25.3,58.6,179.6
Vermont,1986,541000,149.2,2,21.8,22.2,103.1
Virginia,1986,5787000,306,7.1,26.5,105.7,166.7
Washington,1986,4463000,437,5,53.4,135.1,243.5
West Virginia,1986,1919000,164.5,5.9,18.9,41,98.6
Wisconsin,1986,4785000,257.9,3.1,20.1,72.8,161.9
Wyoming,1986,507000,293.1,5.3,21.9,22.5,243.4
Alaska,1987,525000,455.4,10.1,65,73.1,307.2
New Mexico,1987,1500000,628.5,10.1,43.1,108.3,466.9
Alabama,1987,4083000,559.2,9.3,27.8,112.2,409.9
Arizona,1987,3386000,612.6,7.5,41.2,138.4,425.5
Arkansas,1987,2388000,412,7.6,32.6,79.1,292.6
California,1987,27663000,918,10.6,43.8,301.3,562.4
Colorado,1987,3296000,467.5,5.8,40.8,118.8,302.1
Connecticut,1987,3211000,419,4.9,24.9,178.1,211.1
Delaware,1987,644000,430.7,5.1,68.5,122.5,234.6
District of Columbia,1987,622000,1610.3,36.2,39.4,717.4,817.4
Florida,1987,12023000,1024.4,11.4,50.2,356.6,606.3
Georgia,1987,6222000,576.5,11.8,43.1,209.2,312.4
Hawaii,1987,1083000,263.3,4.8,36.3,98,124.2
Idaho,1987,998000,214.2,3.1,17.5,24.2,169.3
Illinois,1987,11582000,796.2,8.3,38.4,314.3,435.2
Indiana,1987,5531000,328.5,5.6,29.1,88.6,205.2
Iowa,1987,2834000,231.2,2.1,11.9,36.2,181.1
Kansas,1987,2476000,360.7,4.4,32.6,82.1,241.6
Kentucky,1987,3727000,337.8,7.5,21,90.2,219.1
Louisiana,1987,4461000,693,11.1,35.9,179,467
Maine,1987,1187000,152.1,2.5,15.7,25.6,108.3
Maryland,1987,4535000,767.8,9.6,39.6,290.3,428.3
Massachusetts,1987,5855000,564.6,3,31.9,177.3,352.5
Michigan,1987,9200000,780.1,12.2,67.2,276.5,424.2
Minnesota,1987,4246000,285.4,2.6,33.9,102.5,146.3
Mississippi,1987,2625000,269.8,10.2,29.2,57,173.3
Missouri,1987,5103000,544.6,8.3,28.9,164.1,343.3
Montana,1987,809000,151.2,4.1,19.8,24.2,103.1
Nebraska,1987,1594000,251.2,3.5,21.6,47.1,179
Nevada,1987,1007000,695.7,8.4,61.8,272.5,353
New Hampshire,1987,1057000,149.6,3,26.6,26.5,93.5
New Jersey,1987,7672000,541,4.6,33.4,232.8,270.3
New York,1987,17825000,1008.1,11.3,31.1,503.3,462.4
North Carolina,1987,6413000,484,8.1,29.1,93.9,352.9
North Dakota,1987,672000,56.8,1.5,9.4,7.6,38.4
Ohio,1987,10784000,421.3,5.8,39.9,153.1,222.5
Oklahoma,1987,3272000,417.6,7.5,35.8,109.5,264.8
Oregon,1987,2724000,539.5,5.6,45.8,196,292.2
Pennsylvania,1987,11936000,369.4,5.4,26.2,144.4,193.3
Rhode Island,1987,986000,359.7,3.5,24.4,107.7,224
South Carolina,1987,3425000,664.9,9.3,43.7,101.1,510.8
South Dakota,1987,709000,119.7,1.8,20.6,12.3,85
Tennessee,1987,4855000,533.5,9.1,43.9,193.8,286.6
Texas,1987,16789000,631.1,11.7,48.1,226.7,344.8
Utah,1987,1680000,229.8,3.3,21.7,52.8,152
Vermont,1987,548000,136.5,2.7,22.4,16.8,94.5
Virginia,1987,5904000,295,7.4,26,105.8,155.8
Washington,1987,4538000,439.5,5.6,52.2,141.4,240.2
West Virginia,1987,1897000,137.3,4.8,22.6,31.2,78.7
Wisconsin,1987,4807000,249.9,3.5,19.8,66.4,160.2
Wyoming,1987,490000,283.1,2,31.4,20,229.6
Alaska,1988,513000,522.8,5.7,57.7,72.9,386.5
New Mexico,1988,1510000,658.1,11.5,38.4,103.1,505.2
Alabama,1988,4127000,558.6,9.9,29.8,117.8,401.2
Arizona,1988,3466000,610.1,8.5,38.8,137,425.8
Arkansas,1988,2422000,422.7,8.7,32.2,84.1,297.6
California,1988,28168000,929.8,10.4,41.8,305.8,571.8
Colorado,1988,3290000,472.6,5.7,38.6,98.8,329.5
Connecticut,1988,3241000,455.4,5.4,26.2,187.6,236.2
Delaware,1988,660000,451.7,5.2,74.4,118.8,253.3
District of Columbia,1988,620000,1921.6,59.5,26.6,917.7,917.7
Florida,1988,12377000,1117.7,11.4,49.7,403.3,653.3
Georgia,1988,6401000,665.3,11.7,46.4,243.6,363.7
Hawaii,1988,1093000,257.1,4,32.5,84.1,136.5
Idaho,1988,999000,234.7,3.6,17.9,20.2,193
Illinois,1988,11544000,810.4,8.6,38.5,312.7,450.6
Indiana,1988,5575000,380,6.4,31,89,253.5
Iowa,1988,2834000,256.8,1.7,15.7,39.9,199.5
Kansas,1988,2487000,365.2,3.4,31.3,85.9,244.6
Kentucky,1988,3721000,330.1,6.2,22.4,74.3,227.3
Louisiana,1988,4420000,717.4,11.6,38.5,209,458.3
Maine,1988,1206000,157.4,3.1,18.6,25.8,110
Maryland,1988,4644000,806.8,9.7,37.1,301.3,458.7
Massachusetts,1988,5871000,619.6,3.5,32,176.3,407.8
Michigan,1988,9300000,741.7,10.8,69.5,241.1,420.3
Minnesota,1988,4306000,290.1,2.9,31,94.7,161.4
Mississippi,1988,2627000,325.2,8.6,36.2,77.2,203.3
Missouri,1988,5139000,552.5,8,29.3,168.1,347.1
Montana,1988,804000,123,2.6,16.8,22.6,81
Nebraska,1988,1601000,273.2,3.6,24,56.1,189.4
Nevada,1988,1060000,780.7,10.5,73.8,291.2,405.2
New Hampshire,1988,1097000,147.9,2.3,25.2,21.1,99.4
New Jersey,1988,7720000,582.8,5.3,33.7,245.2,298.6
New York,1988,17898000,1097.3,12.5,30.6,544.4,509.8
North Carolina,1988,6526000,501.9,7.8,28.1,108.6,357.4
North Dakota,1988,663000,59.1,1.8,11.2,8.1,38
Ohio,1988,10872000,452,5.4,42.6,161.4,242.7
Oklahoma,1988,3263000,434.5,7.4,37.7,105.1,284.4
Oregon,1988,2741000,545.7,5.1,40.5,193,307.2
Pennsylvania,1988,12027000,362,5.5,24.9,138.1,193.5
Rhode Island,1988,995000,396.7,4.1,30.5,115.2,246.9
South Carolina,1988,3493000,741.2,9.3,42.7,124.7,564.4
South Dakota,1988,715000,113.7,3.1,26.9,12.2,71.6
